Top Story Title
European Parliament
State of the European Union Debate 2021  Addressing Europeans' concerns
"Digital transformation in the EU  Benefitting people, the economy and the environment"
LUX Audience Award 2021  The best of European cinema
The future is in your hands  Conference on the Future of Europe
International Women’s Day 2021  Women leading the fight against Covid19
Vaccines against Covid19  Ensuring safe vaccines for EU citizens
Artificial intelligence and big data  Building trust and boosting innovation
Sakharov Prize 2020  The democratic opposition in Belarus
Changes in the European Commission 2020  MEPs assess Mairead McGuinness and Valdis Dombrovskis
The EU's response to the coronavirus  Addressing the Covid19 outbreak
